Name,Latitude,Longitude,Type,M,S,E,T,Building ID
Den00103-Denver Buss Ctr 3,,,Energy Consumer,-0.6262894446048,1e-08,781704000000.0,1e-08,1198.0
Joliet,,,Energy Consumer,-11.0323956722976,1e-08,11309760000000.0,1e-08,1202.0
Den00108 - Denver 3,,,Energy Consumer,-6.43592440849248,1e-08,3918024000000.0,1e-08,1203.0
4821-4825 Lima,,,Energy Consumer,-6.35520611374776,1e-08,6399360000000.0,1e-08,1204.0
Montbello 6 4905 Lima,,,Energy Consumer,-2.14465361483844,1e-08,1424016000000.0,1e-08,1205.0
Montbello Bldg 15,,,Energy Consumer,-5.03610765704712,1e-08,2802096000000.0,1e-08,1206.0
Cri,,,Energy Consumer,-2.1507072073545603,1e-08,1777248000000.0,1e-08,1207.0
4800 Joliet,,,Energy Consumer,-3.3271268025726,1e-08,1503216000000.0,1e-08,1208.0
Joliet Property Llc,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1209.0
4860 Joliet,,,Energy Consumer,-2.65998792625812,1e-08,1233144000000.0,1e-08,1210.0
Orepac Building Products,,,Energy Consumer,-4.739153712476759,1e-08,3560040000000.0,1e-08,1211.0
Amcor Denver,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1212.0
Nulite,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1213.0
11000 51St Ave.,,,Energy Consumer,-3.76698043176264,1e-08,2419560000000.0,1e-08,1214.0
4680/4880 Ironton,,,Energy Consumer,-4.27478892608196,1e-08,2843280000000.0,1e-08,1215.0
4890 Ironton / 4895 Joliet,,,Energy Consumer,-4.15779286104792,1e-08,2802888000000.0,1e-08,1216.0
Ironton Llc,,,Energy Consumer,-1.5887995765840799,1e-08,906840000000.0,1e-08,1218.0
"A+Y Investments, Llc",,,Energy Consumer,-3.52304682929244,1e-08,2106720000000.0,1e-08,1219.0
Denver 4,,,Energy Consumer,-0.5460073098451199,1e-08,681120000000.0,1e-08,1220.0
Maccourt Products,,,Energy Consumer,-14.71519880953092,1e-08,17919792000000.0,1e-08,1221.0
4880 Havana Building 2,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1222.0
Scott'S Liquid Gold - Building 3,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1223.0
J P Lamborn Co,,,Energy Consumer,-3.1524887243825996,1e-08,3559248000000.0,1e-08,1225.0
51St Avenue Warehouse,,,Energy Consumer,-2.71338502871304,1e-08,1402632000000.0,1e-08,1226.0
Montbello Bldg 2 4909 Kingston,,,Energy Consumer,-1.7570152148202,1e-08,1011384000000.0,1e-08,1227.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1228.0
Sprint Llc,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1229.0
"4849 Kingston, Llc",,,Energy Consumer,-3.39648183198864,1e-08,1864368000000.0,1e-08,1230.0
Montbello Bldg 1,,,Energy Consumer,-2.5805098493712,1e-08,1467576000000.0,1e-08,1231.0
Timberline Colorado,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1232.0
Abb Inc.,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1233.0
Peerless Tyre Co,,,Energy Consumer,-2.9894092023128396,1e-08,1666368000000.0,1e-08,1234.0
Glasser-Schwartz Building 11611 E 51St Second Attempt,,,Energy Consumer,-1.2536620092885602,1e-08,827640000000.0,1e-08,1235.0
Professional Plastics,,,Energy Consumer,-3.0215924073241203,1e-08,1778040000000.0,1e-08,1236.0
"Si Partners Investments, Llc",,,Energy Consumer,-1.5149090741547602,1e-08,1016136000000.0,1e-08,1237.0
Og Medicinals,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1238.0
Lima,,,Energy Consumer,-1.96597361864484,1e-08,1210968000000.0,1e-08,1239.0
5005 Lima St,,,Energy Consumer,-2.68461503407332,1e-08,1552320000000.0,1e-08,1240.0
4940-4950 Paris,,,Energy Consumer,-1.44781407933948,1e-08,911592000000.0,1e-08,1241.0
12055 East 49Th Ave/4955 Peoria - 11520,,,Energy Consumer,-2.6902835312954396,1e-08,1831896000000.0,1e-08,1242.0
Montbello 7 - 11909 E.51,,,Energy Consumer,-2.5334826451012797,1e-08,1733688000000.0,1e-08,1243.0
Montbello Bldg 11,,,Energy Consumer,-2.4388862544997205,1e-08,1458072000000.0,1e-08,1244.0
Nome Service Center,,,Energy Consumer,-7.70942652732792,1e-08,6278184000000.0,1e-08,1245.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1248.0
Montbello 8 - 11925-11945 E. 49Th,,,Energy Consumer,-2.15674180886988,1e-08,1219680000000.0,1e-08,1249.0
Dixie Headquarters,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1250.0
Montbello 17,,,Energy Consumer,-1.9035174922916398,1e-08,1078704000000.0,1e-08,1251.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1252.0
"Branch 217 (Denver, Co Benchmarking Id 1253)",,,Energy Consumer,-1.4256088516540801,1e-08,873576000000.0,1e-08,1253.0
Pine Creek Industrial,,,Energy Consumer,-1.05260375629116,1e-08,616968000000.0,1e-08,1254.0
Monarch Montessori Of Denver,,,Energy Consumer,-1.6348703729526002,1e-08,1000296000000.0,1e-08,1255.0
Freight Systems,,,Energy Consumer,-0.9544408557393599,1e-08,620136000000.0,1e-08,1256.0
Montbello Industrial Park,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1257.0
Yampa - 5000 Moline,,,Energy Consumer,-5.86289986787592,1e-08,3160080000000.0,1e-08,1258.0
Montbello Bldg 18,,,Energy Consumer,-4.2690786486580805,1e-08,2138400000000.0,1e-08,1259.0
Montbello # 3,,,Energy Consumer,-2.55735338355684,1e-08,1454112000000.0,1e-08,1260.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1261.0
"Timken Motor And Crane Services, Llc (Dba Wazee Electric)",,,Energy Consumer,-6.8527663254964795,1e-08,3769920000000.0,1e-08,1262.0
Yampa - 5025,,,Energy Consumer,-3.13728410711988,1e-08,2251656000000.0,1e-08,1263.0
Yampa 4925 - 4975 Nome,,,Energy Consumer,-3.8223155658492,1e-08,2231856000000.0,1e-08,1264.0
Flora Properties,,,Energy Consumer,-4.205114003807999,1e-08,2337192000000.0,1e-08,1265.0
5000 Lima,,,Energy Consumer,-7.25108262672564,1e-08,4923072000000.0,1e-08,1266.0
"Industrial Valco, Inc.",,,Energy Consumer,-0.50950354664628,1e-08,375408000000.0,1e-08,1267.0
Montbello Bldg 10 - 4850 Lima,,,Energy Consumer,-1.9932859484675998,1e-08,1236312000000.0,1e-08,1268.0
Montbello Bldg 9,,,Energy Consumer,-3.33683922240396,1e-08,2153448000000.0,1e-08,1269.0
Moline Distribution Center,,,Energy Consumer,-0.9101469840123599,1e-08,463320000000.0,1e-08,1270.0
Bill Thurston,,,Energy Consumer,-43.22780387866944,1e-08,44988768000000.0,1e-08,1271.0
755Pl001 - Mountain View Foods,,,Energy Consumer,-141.35381430590988,1e-08,109379952000000.0,1e-08,1272.0
Drury Inn And Suites Stapleton,,,Energy Consumer,-8.1965011745016,1e-08,6865848000000.0,1e-08,1273.0
Sysco Denver,,,Energy Consumer,-32.10726453581988,1e-08,30092832000000.0,1e-08,1274.0
Certifit Auto Body Parts Co,,,Energy Consumer,-2.4790886206099203,1e-08,1836648000000.0,1e-08,1278.0
Den00901 - Stapleton 1,,,Energy Consumer,-6.70241931991308,1e-08,4996728000000.0,1e-08,1279.0
Bldg A-2,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1280.0
Denver Dc,,,Energy Consumer,-6.36800182806456,1e-08,6172056000000.0,1e-08,1281.0
Bldg D-3,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1282.0
Hercules Industries - D9,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1283.0
4900 Florence,,,Energy Consumer,-2.00491350522408,1e-08,1122264000000.0,1e-08,1284.0
Domino'S Pizza Commissary,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1285.0
Carquest Distribution Center #13,,,Energy Consumer,-4.626337144696559,1e-08,4160376000000.0,1e-08,1286.0
Den00912 - Stapleton 12,,,Energy Consumer,-3.8628581873904,1e-08,2311848000000.0,1e-08,1287.0
Spears Manufacturing Company,,,Energy Consumer,-5.871343899864959,1e-08,2890008000000.0,1e-08,1288.0
Den00904,,,Energy Consumer,-5.9271198361812,1e-08,3144240000000.0,1e-08,1289.0
Den00910 - Stapleton 10,,,Energy Consumer,-9.3390430399092,1e-08,10250064000000.0,1e-08,1290.0
Al Feldman,,,Energy Consumer,-2.57644915137792,1e-08,2067912000000.0,1e-08,1291.0
Den00911 - Stapleton 11,,,Energy Consumer,-7.9799076498164405,1e-08,4610232000000.0,1e-08,1292.0
Cascada,,,Energy Consumer,-5.49814383022716,1e-08,5034744000000.0,1e-08,1293.0
Eldon James Corp,,,Energy Consumer,-9.40679596739664,1e-08,9785952000000.0,1e-08,1294.0
Alphabroder,,,Energy Consumer,-3.76435144421856,1e-08,2407680000000.0,1e-08,1295.0
Den00906,,,Energy Consumer,-3.2220443198682,1e-08,1424016000000.0,1e-08,1296.0
Den00908 - Stapleton 8,,,Energy Consumer,-10.4985201302802,1e-08,6330456000000.0,1e-08,1297.0
Roslyn Campus,,,Energy Consumer,-22.26168286651152,1e-08,15956424000000.0,1e-08,1298.0
Staybridge Suites,,,Energy Consumer,-4.27512295668492,1e-08,4240368000000.0,1e-08,1306.0
Appliance Factory Parts,,,Energy Consumer,-1.9612758780802801,1e-08,1280664000000.0,1e-08,1308.0
Awc West Building 1309,,,Energy Consumer,-1.5594571087758,1e-08,950400000000.0,1e-08,1309.0
Awc East Building 1310,,,Energy Consumer,-3.7022535092415607,1e-08,1774080000000.0,1e-08,1310.0
"Brede-Colorado, Inc",,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1311.0
U-Haul Moving & Storage At Kennedy Park,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1312.0
Unique Woodworking/William Ohs,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1313.0
4950 Colorado Blvd,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1314.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1316.0
10563002 - Denver-50Th,,,Energy Consumer,-13.145119822996561,1e-08,15878808000000.0,1e-08,1319.0
Gcr Tires & Service,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1321.0
Bldg B,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1322.0
Hydrofarm,,,Energy Consumer,-1.28857886335944,1e-08,897336000000.0,1e-08,1323.0
Caterpillar Logistics,,,Energy Consumer,-35.65585394467164,1e-08,19601208000000.0,1e-08,1324.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1325.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1326.0
48Th Street Warehouse,,,Energy Consumer,-1.3317481513224,1e-08,1169784000000.0,1e-08,1327.0
Saltbox,,,Energy Consumer,-4.417114238433,1e-08,2169288000000.0,1e-08,1328.0
